adiff = -adiff;#702,19.007745190670615
public Dfp floor() {#925,15.767635345458984
if (divisor == 0) {#1808,15.764956754796644
public Dfp newInstance(final Dfp d) {#592,15.763254642486572
if (isNaN()) {#2313,15.761136436462403
if (sign == -1) {#1885,15.758265674114227
public Dfp newInstance(final String s) {#611,15.749298667907714
if (changed) {#1000,15.744605577909029
if (exp >= mant.length) {#987,15.734599113464355
protected Dfp trunc(final DfpField.RoundingMode rmode) {#958,15.732806796119327
if (sign < 0) {#2118,15.722539965311686
private static final String POS_INFINITY_STRING = "Infinity";#128,15.698085012890044
final String fpdecimal;#370,15.694895807902018
if (diff == 0) {#705,15.671896616617838
if (excp != 0) {#1273,15.668506622314453
if (isNaN()) {#961,15.648629188537598
if (compare(a, b) > 0) {#1222,15.647282191685267
if (inc) {#1368,15.641263008117676
if (this.equals(inc)) {#2272,15.6301739432595
if (rh != 0) {#1557,15.629023170471191
protected int align(int e) {#694,15.610486507415771
if (up) {#2257,15.609657067518969
if (isInfinite()) {#2305,15.606502596537272
if (isLongMin) {#240,15.604820728302002
if (exp < MIN_EXP) {#1384,15.589742071488324
if (excp != 0) {#1303,15.58591639995575
while (x.unequal(px)) {#1925,15.580367088317871
return negate ? Double.NEGATIVE_INFINITY : Double.POSITIVE_INFINITY;#2350,15.549217823573521
if (i == 0) {#1284,15.526169726723118
if (e <= 0) {#2065,15.51310043334961
protected int round(int n) {#1331,15.49618903795878
if (exp < 0) {#976,15.490179697672525
if (excp != 0) {#1846,15.484335482120514
if (excp != 0) {#1504,15.43364804983139
private static final String TRUNC_TRAP = "trunc";#149,15.40219329532824
switch (rmode) {#1001,15.375126467810738
if (excp != 0) {#1782,15.366919934749603
while (e < 0) {#2071,15.352283636728922
if (e >= 0) {#1115,15.323313903808593
if (excp != 0) {#1568,15.30957978963852
public Dfp divide(int divisor) {#1794,15.275123723347981
if (s.equals(POS_INFINITY_STRING)) {#346,15.268045387268067
while (e > 0) {#2090,15.117019653320312
switch (type) {#2136,15.057409653296837
public static final byte INFINITE = 1;#116,15.027875253132411
if (e < 0) {#2030,14.954481633504232
if (e < 0) {#2039,14.834428278605143
switch (field.getRoundingMode()) {#1333,14.770838154686821
protected int complement(int extra) {#1143,14.743098894755045
